,reviews,senti
46,used time till working properlyi thinking might setting problem setting problem press click button stuck screen always show busy error frustrated pick clicking picture problem first switched work click show busy click button work even able press timekindly needful still warranty,0
47,picture taken basic lens full zoom manual mode retouched small size real lifelike happy purchase canon website extremely designed straightforward update warranty like lenovo wrote mail attaching invoice acknowledgement nothing camera good hopefully wont visit service center year problem check youtube video dslr performance camera word picture course invoice number appario downloaded product page declared invalid invoice number canon india warranty page,0
48,using camera past month recommend product beginner around kyou great photo using itto improve quality photo even prime lens recommendedadded benefit wifi easily transfer photo share worldalthough dont making videosi added photo clicked using,1
49,need return replace product informed canon amazon canon eosd shoe point main thus support studio light triggerbeing genuine customer visited whole mumbai city adopter available asking amazon canon return replace product simply getting away saying return window closednot fair,1
50,bought product photography strange totally worst camera result never seen year usage autofocus issue camera camera taking autofocus product timei tried many time option wise selection also totally waste money camera purchase autofocusing facilityplease camera totally waste money nothing else,0
51,great product naught family trip professional photography experience still picture perfect auto modehave exploring feature beginner looking phone must havei ordered lens regret decision lens costly naught separately would suggest anyone lens budget permit though lens fine need zoom much helpful,1
52,want start dslr photography time confused model dont think twice first would like clear doubt dslr shoulder camera lens lensthe memory card package give speed hoto mbps want good sdhc memory card sandisk higher give speed mbpsyou diopter adjustment dial right side optical view finderscreen brightness level probably enough everyone extend brightness hoto level guess much bright actually easy outdoors also noisy shoot light keep atleast minimum light source near object keep minimum change shutter speed keep lower condition outside much dark price around amazing price getting branded dslr basically beginner complaint stuff believe probably best option huge range mode operation grab start experiment frame,1
53,product delivered hour thanks amazon prime product deliveded good condition accessory mentioned amazon user dslr camera easy commonly used mode typebfor photography come really handy picture quality resulting good enter level dslr,1
54,writing review usage year canondthe camera good comer photography photographer paid shoot interested various amount genre photography suggest high budget another camera camera good lens click picture lens gonna definitely face issue noise picture high chance getting shaken image also adding noise itif budget issue good post processing skill else notoverallpicture quality auto focus battery life,1
55,great product price fluctuates differencei even found buying please wait offer make real value money dealthe lens come affordable package,1
56,dslr relatively compact light weight easy operate although certainly step smartphone exciting satisfying anyone deep interest photography build quality good enough withstand normal usage although rough treatment neither camera lens weatherproof lens average performer across focal length range recommend paying extra stabilisation telephoto lens basic packageit lack feature especially recording point focus system lack headphone jack photography camera make still great picture quality amazing battery life price doubt would provide best stepping stone beginner want improve mastery photography,1
57,first camera extremely happy choice right dslr beginner displayed instruction every function help navigate within know everything really fast auto focus picture quality absolutely stunning beginner feel couldnt chosen better,1
58,using couple month model canon removed center shoe hence cheaper market external speedlight flash cannot used dslr model model used capable anyone looking please prepared invest costly canon third party speedlight flash inbuilt flash,1
59,hand best entry level camera regular begin auto mode auto focus auto flash everything auto explore learn slowly watching video youtube become expert time become professional photographer wedding best,1
60,good beginner must someone looking feature economical price wanted camera purpose shooting youtube small event never mind always best option clickfive take away experience best beginners economical price amazon option needed canon playing good will well never mind nobody going take seriously,1
61,first ever dslr great experience picture great gained professional confidence click good picture thanks cannon introducing great entry level dslr affordable price amazonebattery also long lasting easy usei must suggest everyone looking entry level dslr please,1
62,absolute value money price purchased forhas lens latest inclass sensor control even enhanced option like dioptre correction beginner even setting creative filter applied automatically scene find useful,1
63,writing review year usei searching beginner camera choose bought valued price great indian salethe performance camera stunning quality picture really great need basic setting right good pictureive used indoor outdoor photoshoots great output battery backup also long lastingif looking dslr beginner recommend thisthank canon amazon,1
64,bought camera clicking picture instagram amazingmy insta feed full awesome picturereel videoif want know final result check instagram,1
65,need dslr dont take many photo thisquality good auto focus thing sooo good year feel higher version interested photography good product beginner people need dslr take photo occasionally,1
66,actually loved product ordered combo offer tripodgb card case filter placed order split three separate order filter placed order reach team processed exchange item telling received oredered even understand concern major thing received card along camera tried card whole keep disconnect chat call said return whole camera order solit separate order return whole thing worst customer service ever everthey rude,0
67,camera excellent option newly stepping photography field give tool needed develop skillsperformance entrylevel camera good wifi inbuilt user transfer file camera smart device canond superior sensor older thus overall image quality much better color saturation decent fair amount sharpness noise concerned camera handle shot well little amount grain even noise level acceptable increasing increase noise image still good enough shared social medias autofocus fast enough using viewfinder switch live view mode really struggle focus overall would recommend camera anyone starting photography shot clicked using camera,1
68,ordered product using prime received next morning product packed tight perfectly sealed conditionbox contains camera body lens strap battery battery charging adapter wire kingston memory card carry case warranty card guideturned mounting lens body started click picture must quality picture damn great amazing tried clicking picture potraits close flash mode result awestruck mealso connected camera mobile using wifi canon camera connect playstore product support wifi using remote access controlled camera clicked image seemed perfect wowi noticed autofocus slow talk later part proper utilisationi conclude must camera beginner hobby photographer reasonable price,1
69,great camera picture quality really nicei really feel difference photo quality comparison photo clicked older camerareceived super deal amazon great indian festival thank amazon,1
70,using week know like perfect beginner entry level good autofocus cmos sensor work well better shutter speed slow snap second except everything perfect beginnerslens provided along gooduse prime lens wonder,1
71,using product past month list good badgoodbattery lifelow costimage qualityeasy beginnersvalue moneywifi sharebadplastic material bodyless photoshoot optionsui mark,1
72,honest review canon camera good beginner better good point shoot camera good quality mobile bcoz shoot video give auto focus moving object give auto focus particular object object front back automatically blurred case video honest review dont camera youtube video like cooking craft dont return refund shop camera range buying particular purpose photography video worst camera ever used dont expect autofocus manual focus setting also camera stuck particular silent motion object shoot video moving thing worst totally worst video,1
73,please unboxing photo attached along review carefully check placing order going memory card part found camera missing also card slot traycontainer insert card even though card separately also picture carefully without lens camera look like shown picture wanted capture accessory included delivered conclusion amazon justifying customer canon original product definitely accessory even including card believe doubt quality packing condition camera never know used product delivered moreover product refund policy careful placing order,1
74,receive memory card camera unable test people received item along camera camera sticker mentioning card canon included,1
75,take brilliant photo camera know properlypicture quality nicenice auto focus suffers lightthe smartphone connect usefulbetter extra lenskit lens much powerfulbut take great photo itif wantcamera toolits talentam completely satisfied productamazon packaging greatthey took serious protective measuresthanku amazon canon seller person brought item,1
76,bought would recommend absolute beginner want grow mobile photography clicksif buying camera stop shooting auto mode auto mode mobile camera worth buying youll shooting auto point shoot instead youll using autoalso photography video recording garbage would better recording mobile camerain short great beginner photographer first dslr,1
77,best beginner photography month bought camera lens debit card discount learnt term photography continuous shot speed autofocus isnt great jobfor price value money camerathis portable camera time upgrade lensesif youre really photography want explore minimal budget purchaseif want check photo camera query personally check instagram pixelbugabhi,1
78,super camara picture qulity clearly auto focus amazing beginner blindly star rating overall smooth hendy camara display cool bright also camara easy work fast photo capture wife connect mobile feature like amazon delivery late order packeg arrived waitnot speedy,1
79,great dslr begenersamazing quality trust canonrecomended photo enthusist normal household event functionsgood user experiencecamera came giodrecomended chenage added safty,1
80,happy price sale camera work well explore option hope good beginner play around,1
81,purchased device amazon great indian festive sale camera quality superb useful beginner like camera function easy learn function also ordered lens sample attached taken lens,1
82,pretty decent camera beginner experienced photography enthusiast well suggestion buying first dslr spend couple learning experimenting manual mode youll awesome picture bundled lens good situation light autofocus could better good camera price,1
83,using year really work great dslr supposed reflecting back bought camera price think better buying smartphone good camera camera good doubt smartphone camera also developed alot buying camera average person ideal choice still good dslr price,1
84,purchase date year warrantywarranty expiry date camera checked canon wedsite date month mean warranty start month purchase date year warranty camera package seal broken camera lense simply without cover camera strap missingi returned item replacementhere attaching screenshots video took unpacking,0
85,poor customer supportproduct quality upto markmy sony camera year better thisdata transfer cable also missingbough amazon salebut least happy productmy samsung phone take better picture,1
86,love camerait taught much lighting shutter speed anglesplus since cheap able practice without fearing would breaking itthe color natural vibrant lovely,1
87,bought appario order replacement seal broken three case returned camera bought first mehta time,0
88,best beginnersimage quality really crispcan capture video ntsc video systembuild quality also goodmm lens also fine beginningnight quality good expect much,1
89,getting hand purchase really seems deceptive trick canon dealer show reduced pricethere cable included card even really doesnt take einstein understand anybody willing purchase like wouldnt care necessary cablecard obvious expect exactly cablecard would includedso buying please checkout list included item carefullyother star using,1
90,good beginner using product year working perfectly fine purposely didnt wrote review earlier product really good amazon delivered good wayrecommande beginner looking good dslr,1
91,good camera beginnersupdate found mini cable working registered camera canon edge website option extend warranty didnt extend year month extra mean camera registered long backi checked manufacturing date surprised manufactured month agoplease check camera thoroughly signsi applied replacement seewhat happens,1
92,amazon delivered second hand productthe canon digital camera package seal broken opened several time previous user camera full finger print mark provision return product satisfied second hand product price original product,1
93,beginner friendly bought cousin complete newbie photography took picture attached first focus speed good nikon entry level battery backup slightly worse well color profile much better canon detail close nikon major negative fixed display wifi mobile connection really help,1
94,best camera photographythis first dslr bought amazon sale confused nikon canon getting amazing feedback photographer friend chose canon brandthis first shoot lense wonderful result looking forward lens upgrade potrait shootthanks alot amazon service support never matched,1
95,festival salesincredible priceeasy good picture qualityeasy transfer photo nfcgood battery also,1
96,using past month till much satisfied product using light photography know setting required capture night light photo using default auto setting drawback lack knowledge setting detail product seller fine picture quality night revise rating,1
97,first time dslr nice producti really like also inquiry purchasing canonn found nikon canonn really nice amazon company delivery person badhe didnt delivery mention attitude dependent upon treat take product another person talk himamazone company look matter,1
98,battery enough even charging long hoursfirst time didnt fine photo getting help professional photographer setting done know battery problem camera,0
99,defective lens buddy helping,0
100,like much image quality nice first thing first incredibly functional dslr take sharp image natural feel also offer good video quality importantly beginner however manages right allows beginner taking great picture recording quality video soon unbox dslr,1
101,false advertisementno touchscreenlens doesnt good jobmakes much sound focussingno good focus allblurry videosno flash videosits first cameraand highly highly highly disappointedpleasei repeat please purchase iteven beginnerelse like,0
102,camera king budget segment camerasthis camera give excellent result know dslrthe lens reliable reduce focusing noise lensbuild quality mind blowingused camera year extremely satisfiedbest camera beginner others secondary camerabattery life decentfor user excellent manual mode approach youtube learn basicsother mode usefuluse avtvm mode photographyvideo quality poor video camerathe wifi feature handy make transfering image quickmm lens suit excellent camerayou check insta handle image captured using camera mrpanickernegativelow light photography impressiveproduces grain high,1
103,awesome product home canon product really fine handle thanks amazon teamif youre beginner basic training class youtube instructor functionality product interesting beginner learn step stepin product worth unique budget,1
104,people believe online shopping safe digital item true buying product amazon year didnt receive item damagedit decision mine item heavy amount online shopping thinking would come damaged broken receiving best normal people click photo everywhere travel nikon good photographer recommend viewer product surely,1
105,amazing picture quality even lensecolors much naturalfor beginner nice camera light weighti wish could rotating viewer screen thats issue,1
106,best beginner buying vlogging purpose recommend hard handle without gimbal tripodpicture quality superb video quality goodbattery capacity good comparing model canonauto focus fine inbuilt flash superbwifi woking fast alli recommend professional videographers youtubers,1
107,beginner perfect choice also huge discount prime thanks amazon problem facing unable register year warranty canon website however amazon also solved issue providing year warranty product,1
108,great product beginner amazon sale using card cash back worth every penny really want click moment cherish later even wife also much comfortable using camera since screen view mode also automode white balance allowing clicking shot without looking setting hurry wifi connect convinient download whichever image like,1
109,good camera external port want camera external voice recorder please select without knowing purchased even return also possible amazon camera awesome purchase combo lense otherwise lense cost,1
110,buycanon tried create monopoly model shoe changed canon flash light work model canon dthey even mentioned anywhere amazon website even dealer canon know developmentthe screen could given flap covering previous model,1
111,good camerastarted loving could able proautofocus kitlens dont know lensnight snap average manual mode awesome result auto night photography little badoverall perfect choice beginnersnot recommended video shooting auto focus,1
112,camera also supported trigger extra flash given point compatible brand beginner cannon flash trigger costly photo quality also phone quality much better dslr useless camera waste money already wasted,0
113,main drawback jack recording audio connector connect mini port jack accessory,1
114,received product tried register product website canon extended warranty revealed product already registered warranty would expire also revealed supplier name incorrect entered detail supplier website canon shown invoice result warranty reduced half month reason believe used product vendor expected answer doubt,0
115,initially looking nikon dslr went canon must made right choice work like charm look good built quality good best entry level dslr,1
116,useful basic lens provided itpictures look like taken mobile camera thinking taken dslr come higher lens used either basic lens useless,1
117,beginner photography world thing buying camera understanding concept shutter speed aperture metering please youtube video learn basicsdo ever keep auto mode shoot learn thing keep manual mode even keep auto introduce noise image,0
118,good camera canon simply loosing credebility making silly change camera restrict camera professional camera suitable studio photography canon removed universal camera hotshoe shame canon,0
119,expected entry level dslr best beginner easy operate lense good except zoom however zoom lens purpose battery also good last whole continuous shooting,1
120,beginner photography suggested product photographer friend mine good practice skill definitely would suggest move better option quicklyit come lense hold camera body lense batterycharger holding loop torn second dissapointing,1
121,value money good beginers used video recording record upto standard external support record audio entry level dslr used previously canon better photo video well durable deal around rupee happy,1
122,budget friendly camera beginners bought doesnt disappointing great camera learning photography want learn photography itgreat picture quality price range,1
123,perfect camera beginner professional camera suffice needsgood autofocusgreat picture qualityand best thing remote operability canon camera connect really help nature photography,1
124,best camera beginner short film maker camera well packed look awesome user manual useful first time buying people zoom lens awesome carrying also good really liked product give better experience thank canon also amazon,1
125,camera good beginner picture quality video quality mark auto fuces vlogger bought self better mobile camera video record video video sample quit good average prime lens lens boke blue background photo video quit better camera debit card offer great indian sale,1
126,purchased gift really great deal best part liked person gifted actually enjoys photo sharp usability good great product good quality amazon,1
127,experience service service delivery camera travel camera hanging problem month perchse,0
128,beginner loved setting easy lean setting lens free focus lens awesome also stability great clicking portrait coming good better iphone xrjust thing make much sound thats otherwise worth buying,1
129,nikon better dont nikon choose canon wifi camera definitely need extra lens good though lens believe definitely need extra lens zoom lens need dont combo lens lens thing,1
130,camera worth money focus slow camera doesnt external port connection wise picture quality prime lens zoom lens awesome,1
131,first camera perfect beginner picture quality awesome auto focus amazing still learning phase like product much soon purchase another lens beyond lastly time delivery amazon,1
132,cannot attach flashgun,1
133,budget dslr photo quality flower awesome normal photography average equivalent good quality image photo captured mobile phone except pixelsclearity good cant available image captured mobile built image effect image originalso tried budgeti guggest better higher version,1
134,bought camera camera packed pretty wellthe camera really good beginnerssome people lens feel pretty decent shot learn itthe auto focus good recommend manual focusjust perfect shotone reason bought camera wifi functionit work really well convenient,1
135,best daylight shoot perfect night shoot used beginner also beginnerwith modeling pose want look best time acting aware camera show imperfection better youre going,1
136,beginner going deep definetly beginner feel comfartable using camera autofocus enough shooting moving picturesif manual mode keep perfect setting best result price best expect said beginner learning photography pointed anything wrong please apologize,1
137,shoehave attached photo samehuge flash issuedon canon want third party flash camera doesn center shoethird party flash cost lessas entry level camera cost camera lowbut forced canon flash canon flash supported canon flash expensivego canon model center shoe,1
138,perfect capture every special moment lifeno need expertise camera adjust capure best photo picture quality awesomebattery work fully charged wifi function useful download photo mobile overall performance good,1
139,used photosgraphynot record video autofocus vary badno point autofocus autofocus point,1
140,good product begginers want good quality picturs product case want make video project kindely notice verry poor focus object still focus properly obect moving youll face problem otherwise good image quality good potrait photo capture,1
141,great camera biggnier drawback option connecting external,1
142,received used item item already registered canon website month purchased shared proof amazon team customer care people suggesting contact manufacturer worest response received amazon team took time respond mean time return window period also completed,1
143,camera image quality good however there major disadvantage canon product unlike nikon support brand accessory like external flash wayyyy tooooo costly beginner work good daylight,1
144,amazing camera lens great india sale easy handle function picture quality awsum easy adjust aperture shutter speed manual setting auto setting work well light weight good start beginers,1
145,user friendly every click need lense blurred help supporthelpline responding tried register product couldnt till datecanon third class product service,1
146,suitable easy handle dslr camera people want start digital photography able operate camera easily learning different functionality watching several video online strongly recommended people little exposure dslr always choose better lens later feel like upgrading quality picture,1
147,enjoying easy operate fixed isos working camera connect samsung phone neglect good beginner four star,1
148,canon excellent package begineers control amazing easy image crisp clear autofocus also greatthe noticed product screen display mode capturing image auto focus take time focus subjectotherwise overallthe product worth every pennythanks amazon ontime delivery great package,1
149,best camera photography good wanna shoot video bcqz auto focus working well video shooti suggest prime lens batter portrait light photosnofeelshaikh,1
150,want dslr probably best choice youeven good hand enough click picture like professional dslrjust make sure portrait lens first extra lens camerathis combination lens canon beast,1
151,amazing build quality best camera beginner also mediocre user belive anyone know basic rule photography amazing time camera canon mobile also help remote capture autofocus could better subject really close never best entry level camera world,1
152,highly disappointed problem facing camera flash camera stop working start showing error restarted many time problem remained,0
153,product bill available memory card battery lens available product dont amazon frod,0
154,excited soon expected received soontnx amazon fast safe delivery amazon trusted safe geniune product,1
155,camera great beginner stated learn feature slightly complex understanding ever used nikon camerai would suggest nikon transition little uneasy camera good used camera limited scenario experienced great,1
156,perfect beginner affordable handyamazing picture clarity charger card carry free camera,1
157,ordered canon amazon guess missing camera merory card sealed properly hand,1
158,first camera quality good also packingeasy difficult understand settingsoverall said mindblowing,1
159,begineer used canon gave satisfactory result light shooting awesome using falsh steady hand better result neither shakeey picture better shot light preferable using lens image aslo taken lense,1
160,bought free earphone worth great camera beginner liked idea wifi transfer good great deal,1
161,mainly print photography easy capture accurate image happy purchase current price excellent value money,1
162,good dealpros cannon best lens support wifi connectivity sharing ease usecons user friendly bulky,1
163,recently bought camera night mode really coming blurr shakypickels also clear night modepls help find right mode replace think problem purchase price went highly disappointing,0
164,good night choose beginner nice package safe good impact late delivery camera useful beginner like well building quality quality nice pretty good view good also image taken camera clear budget camera beginner,1
165,great camera beginner also amateur photographer often matter well know camera since userfriendly camera worth considering,1
166,great product great service seller seller helped resolve glitch really grateful seller followed made sure good experience transaction made,1
167,best camera beginner learn manual mode easily good user friendly search video youtube best,1
168,received product good condition product excellent beginner know different lens camera awesome lens cost lower side different lens explore moreone product form amazon purchased many product received good conditionall best,1
169,first dslr loving dont underestimate camera gonna used correct lens,1
170,amazing product great price first dslr ever fully satisfied,1
171,excellent productbuild quality budget price excellent picture quality best choice upgrading lower priced lens canon mmflipscreen headphone jack recording audio missing,1
172,good camera easy handle beginner good lens would wonder price range used basic nikon also never felt easy,1
173,well found product authentic buying amazon entry level photography enthusiast good product starter bought camera reasonable price great india shopping,1
174,good picture quality beginner good want purchase digi dont want much money invest,1
175,brought camera without telephoto lens believe wont click nature portrait believr buying canon lens magic using aperture priority mode learning post review month,1
176,purchased useful camera price,1
177,nice camera dslr beginner,1
178,waiting since long time model popular waited long camera finally amazon great offer lens carry case want simple start photography,1
179,prosbest beginner best deal worth lense focal earphone worth dealcons support onlt cannon external flash costly product camera support make flash starting,1
180,really love gadget wana totally worth capturing level camera good really enjoyed single function probably work beyond expectation professional good start confession sure recommend others,1
181,nice dslr camera good quality picfures good video quality recomend everyone dslr camera,1
182,perfect beginner would advise lucky sale good bargain deal camera lense memory card product friendly easy maintain,1
183,best dslr starting price range right amount setting beginner learn perk dslr video snap quality also good,1
184,beginner auto focus fine speaking picture quality work fine even light,1
185,actually camera given model eosd purchased model point change wise think return product supply original particular replace return period,1
186,going camera fine cant third party additional flash light bought canon flash costing prefer want additional dont otherwise normal purpose athome fine,1
187,want learn photo shoot youtube video shooting useful price camera good branded model company product thank amazon,1
188,product quality goodas photo shown amazon companyworks better totally genuine sealed item receivedthnks amajon,1
189,invoice canon camera either order amazon cannot warranty product electronics amazon,1
190,suitable dslr camera beginner great auto focus couple mode varied kind shot also benefit wireless picture snapping nfcmobile also live view picture taken transfer picturesvideos,1
191,first dslr canon proved awesome picture quality better battery life loved core best budget dslr worth money thanks canon india,1
192,good product beginner price amazon deal good excellent product would like small family party gathering,1
193,hellothis camera good beginner learn shoot first sight picture quality satisfaction level allfor anyone decent dslr price quite good spec good picture focus consider choice,1
194,camera named canon bought amazon completely basic level camera overall every feature beginner need ndly guide much helpful beginner every step,1
195,attached snapshot taken canon,1
196,package reached safe good packing original product came bill warranty card nice product good camera price range beginner picture quality fine first dslr blindly choose,1
197,good camera beginnersphoto quality really good first didnt memory card amazon replaces without hassle point amazon also pretty much satisfied thisthank,1
198,beginner camera excellent option stepping creative photography give tool needed harness skill,1
199,best classcant compare othersa must beginnersobviously better,1
200,great dslr beginner,1
201,digital memory card purchase even thou enlisted costly,0
202,awsome product great indian festival sale year extra warantythe photo awesome beginner best market,1
203,really good dslr beginnersonly downside canon doesnt help transferring video wirelessly,0
204,good product start hobby explore photography skill style loaded cool featuresgot sale value money,1
205,good beginnersautofocus good pointsthe screen also moveablecompact user friendlylightweightthe file format easy open edit simple softwarenikon also line megapixel high point moveable screen,1
206,external flash working model tried simpex digiteketc,1
207,camera great beginner default lens good initial practice camera work best lens focalength greater overall nice product begin field photography,1
208,first dslr extremely happy purchase cheap best offer,1
